NUMMER_TAL	CentX	CentY
6330	520993	6079123
6340	528463	6080668
6360	514800	6086328
6372	506844	6090681
6392	516128	6094047
6400	547052	6089009
6430	550358	6098373
6440	559949	6091678
6470	562115	6084637
6500	518390	6120877
6510	500239	6125906
6520	501757	6114967
6534	510848	6109333
6535	504165	6107671
6541	512218	6116231
6560	517348	6131784
6580	520961	6141518
6600	510481	6150231
6621	512471	6154129
6622	509253	6159056
6623	505074	6165852
6630	506314	6136162
6640	519831	6148755
6650	501259	6153032
6660	498626	6139845
6670	494727	6151362
6682	497015	6161740
6683	494625	6143393
6690	488758	6147191
6700	465569	6147739
6705	470996	6150313
6710	460616	6155706
6715	468898	6155612
6720	462415	6141460
6731	474657	6146888
6740	481859	6148167
6752	490633	6157147
6753	488420	6162051
6760	486539	6129460
6771	483645	6140062
6780	486743	6113878
6792	469241	6110903
6800	471289	6168700
6818	479366	6158290
6823	484225	6175121
6830	455151	6182983
6840	451005	6166402
6851	461268	6166088
6852	457761	6162857
6853	445195	6162522
6854	452278	6174687
6855	461173	6173830
6857	448935	6156097
6862	477185	6174407
6870	476853	6183481
6880	474496	6191286
6893	460514	6188135
6900	472284	6203523
6920	480296	6214394
6933	492856	6204769
6940	463879	6210571
6950	455290	6218521
6960	446707	6200639
6971	468374	6221547
6973	471863	6228336
6980	456355	6228081
6990	455783	6235780
7000	541782	6159814
7080	541930	6167379
7100	531487	6172895
7120	539597	6175981
7130	560858	6178063
7140	550212	6173588
7150	555971	6173946
7160	531508	6191538
7171	537116	6188190
7173	526147	6190937
7182	522379	6173328
7183	515627	6170255
7184	512380	6174650
7190	506854	6176086
7200	493555	6177161
7250	498646	6170437
7260	494229	6188768
7270	490134	6194200
7280	487591	6199342
7300	526791	6181181
7321	518299	6179813
7323	515127	6189221
7330	505763	6198265
7361	516872	6206170
7362	523498	6211300
7400	498280	6218667
7430	511384	6219459
7441	515976	6224061
7442	519297	6227855
7451	501676	6231704
7470	510368	6242338
7480	483593	6225664
7490	488526	6237553
7500	477603	6244018
7540	499261	6243622
7550	478881	6233905
7560	478237	6254827
7570	459207	6246267
7600	470658	6259057
7620	456372	6264306
7650	450715	6254786
7660	458616	6252985
7673	449810	6275555
7680	451706	6282897
7700	477793	6317040
7730	480204	6327861
7741	497204	6328497
7742	498796	6320068
7752	469088	6303642
7755	462177	6299136
7760	464216	6287245
7770	456438	6292464
7790	471377	6277818
7800	498658	6265275
7830	489262	6257943
7840	510415	6270043
7850	507474	6259736
7860	489007	6275614
7870	500390	6286533
7884	500967	6298356
7900	487555	6298859
7950	482110	6300567
7960	473930	6289904
7970	478717	6288723
7980	483152	6289703
7990	481610	6284486
8000	574603	6223018
8200	572334	6228628
8210	571454	6225436
8220	567224	6223878
